date,outlet_name,item_name,net_revenue,quantity,brand,wok_id,hour_slot,order_type,basic_amt,void_amt,product_id,day_no,day_of_week
2025-12-01,QAFFEINE HITECH CITY,CAFE MOCHA ( HOT ),175.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,175,0,8878,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,SIGNATURE HOT CHOCOLATE,175.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,175,0,9117,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BISCOFF COLD COFFEE,784.0,4,QAFFEINE,QOH0012,17-18,Carry-Out,784,0,9118,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCO LOADED COLD COFFEE,548.8,3,QAFFEINE,QOH0012,17-18,Carry-Out,588,0,9119,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,KIT KAT THICK SHAKE,182.7,1,QAFFEINE,QOH0012,17-18,Carry-Out,203,0,9123,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,MASALA TEA,139.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,139,0,9128,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CARDAMOM TEA,278.0,2,QAFFEINE,QOH0012,17-18,Carry-Out,278,0,9135,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,WALNUT BROWNIE,153.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,153,0,10155,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE GINGER TEA,834.0,6,QAFFEINE,QOH0012,17-18,Carry-Out,834,0,11299,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,418.0,2,QAFFEINE,QOH0012,17-18,Carry-Out,418,0,14391,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,HONEY CINNAMON ROLL,139.0,1,QAFFEINE,QOH0012,17-18,Carry-Out,139,0,20638,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,QAFFEINE WATER,57.14,1,QAFFEINE,QOH0012,18-19,Carry-Out,57.14,0,405,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),308.0,2,QAFFEINE,QOH0012,18-19,Carry-Out,308,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,SIGNATURE HOT CHOCOLATE,175.0,1,QAFFEINE,QOH0012,18-19,Carry-Out,175,0,9117,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,609.0,3,QAFFEINE,QOH0012,18-19,Carry-Out,609,0,9122,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CARDAMOM TEA,139.0,1,QAFFEINE,QOH0012,18-19,Carry-Out,139,0,9135,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,WALNUT BROWNIE,153.0,1,QAFFEINE,QOH0012,18-19,Carry-Out,153,0,10155,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,SCHEZWAN CHICKEN WRAP,376.0,2,QAFFEINE,QOH0012,18-19,Carry-Out,376,0,10439,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE ELACHI TEA,139.0,1,QAFFEINE,QOH0012,18-19,Carry-Out,139,0,11297,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE GINGER TEA,139.0,1,QAFFEINE,QOH0012,18-19,Carry-Out,139,0,11299,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ALMOND QAPPUCCINO,189.0,1,QAFFEINE,QOH0012,18-19,Carry-Out,189,0,12779,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHICKEN AFGHANI SANDWICH,418.0,2,QAFFEINE,QOH0012,18-19,Carry-Out,418,0,14387,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,HONEY CINNAMON ROLL,139.0,1,QAFFEINE,QOH0012,18-19,Carry-Out,139,0,20638,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE ECLAIR,480.0,3,QAFFEINE,QOH0012,18-19,Carry-Out,480,0,20643,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,GREAT INDIAN FILTER COFFEE REGULAR,147.0,1,QAFFEINE,QOH0012,19-20,Carry-Out,147,0,8824,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),308.0,2,QAFFEINE,QOH0012,19-20,Carry-Out,308,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,OREO CHOCOLATE THICK SHAKE,385.7,2,QAFFEINE,QOH0012,19-20,Carry-Out,406,0,9122,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,KIT KAT THICK SHAKE,182.7,1,QAFFEINE,QOH0012,19-20,Carry-Out,203,0,9123,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,LARGE GINGER TEA,417.0,3,QAFFEINE,QOH0012,19-20,Carry-Out,417,0,11299,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHICKEN AFGHANI SANDWICH,209.0,1,QAFFEINE,QOH0012,19-20,Carry-Out,209,0,14387,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BANH MI CHICKEN SANDWICH,209.0,1,QAFFEINE,QOH0012,19-20,Carry-Out,209,0,14391,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE FUDGE COOKIE,125.0,1,QAFFEINE,QOH0012,19-20,Carry-Out,125,0,20634,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,ROSE PISTACHIO COOKIE,250.0,2,QAFFEINE,QOH0012,19-20,Carry-Out,250,0,20635,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CLASSIC CHICKEN POTPIE,132.0,1,QAFFEINE,QOH0012,19-20,Carry-Out,132,0,20639,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,BASQUE CHEESE CAKE,418.0,2,QAFFEINE,QOH0012,19-20,Carry-Out,418,0,20645,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CAPPUCCINO ( HOT ),308.0,2,QAFFEINE,QOH0012,20-21,Carry-Out,308,0,8869,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHICKEN AFGHANI SANDWICH,167.2,1,QAFFEINE,QOH0012,20-21,Carry-Out,209,0,14387,1,MONDAY
2025-12-01,QAFFEINE HITECH CITY,CHOCOLATE ECLAIR,128.0,1,QAFFEINE,QOH0012,20-21,Carry-Out,160,0,20643,1,MONDAY
